epoch,split,precision_overall,recall_overall,f1_overall,precision_PER,recall_PER,f1_PER,precision_LOC,recall_LOC,f1_LOC,precision_ORG,recall_ORG,f1_ORG,correct,pred_entities,gold_entities,timestamp
1,dev,0.4407,0.3776,0.4067,0.2914,0.2790,0.2851,0.4366,0.4516,0.4440,0.2473,0.1257,0.1667,483,1096,1279,2026-01-17T23:02:35.633454
1,test,0.4194,0.3394,0.3752,0.3349,0.3195,0.3270,0.3205,0.2847,0.3015,0.2626,0.1370,0.1801,411,980,1211,2026-01-17T23:04:46.836616
2,dev,0.5425,0.4894,0.5146,0.3510,0.3549,0.3529,0.5745,0.5720,0.5733,0.3109,0.2022,0.2450,626,1154,1279,2026-01-17T23:24:48.665366
2,test,0.5287,0.4558,0.4896,0.3889,0.3982,0.3935,0.4826,0.4039,0.4397,0.3405,0.2303,0.2748,552,1044,1211,2026-01-17T23:26:59.852074
3,dev,0.5602,0.5715,0.5658,0.4004,0.4263,0.4130,0.6427,0.6151,0.6286,0.2846,0.2978,0.2911,731,1305,1279,2026-01-17T23:47:01.768567
3,test,0.5482,0.5450,0.5466,0.4294,0.4661,0.4470,0.5493,0.4745,0.5091,0.3229,0.3324,0.3276,660,1204,1211,2026-01-17T23:49:13.082572
4,dev,0.5762,0.5559,0.5659,0.4426,0.4129,0.4273,0.6296,0.6323,0.6309,0.3009,0.2869,0.2937,711,1234,1279,2026-01-18T00:09:15.214787
4,test,0.5594,0.5367,0.5478,0.4769,0.4508,0.4634,0.5223,0.4842,0.5025,0.3123,0.3178,0.3150,650,1162,1211,2026-01-18T00:11:26.336292
5,dev,0.5827,0.5809,0.5818,0.4318,0.4665,0.4485,0.6418,0.6280,0.6348,0.3423,0.3142,0.3276,743,1275,1279,2026-01-18T00:31:28.336273
5,test,0.5759,0.5574,0.5665,0.4773,0.5055,0.4910,0.5723,0.4818,0.5231,0.3743,0.3732,0.3737,675,1172,1211,2026-01-18T00:33:39.703103
6,dev,0.6090,0.5942,0.6015,0.4426,0.4821,0.4615,0.6427,0.6538,0.6482,0.3937,0.3087,0.3461,760,1248,1279,2026-01-18T00:53:41.477363
6,test,0.6007,0.5764,0.5883,0.4788,0.5186,0.4979,0.5493,0.5012,0.5242,0.4075,0.3469,0.3748,698,1162,1211,2026-01-18T00:55:52.775812
7,dev,0.6197,0.6091,0.6144,0.4484,0.5045,0.4748,0.6483,0.6581,0.6531,0.4093,0.3142,0.3555,779,1257,1279,2026-01-18T01:15:54.913236
7,test,0.6050,0.5780,0.5912,0.4889,0.5295,0.5084,0.5462,0.5036,0.5241,0.4205,0.3469,0.3802,700,1157,1211,2026-01-18T01:18:06.142790
8,dev,0.6170,0.6145,0.6157,0.4747,0.5246,0.4984,0.6074,0.6688,0.6366,0.4045,0.2951,0.3412,786,1274,1279,2026-01-18T01:38:08.014980
8,test,0.6019,0.5904,0.5961,0.4929,0.5339,0.5126,0.5177,0.5328,0.5252,0.4296,0.3382,0.3785,715,1188,1211,2026-01-18T01:40:19.450676
9,dev,0.6092,0.6020,0.6056,0.4628,0.5134,0.4868,0.6183,0.6688,0.6426,0.3939,0.2842,0.3302,770,1264,1279,2026-01-18T02:00:21.459175
9,test,0.5914,0.5879,0.5896,0.4627,0.5164,0.4881,0.5240,0.5572,0.5401,0.4241,0.3178,0.3633,712,1204,1211,2026-01-18T02:02:32.913276
10,dev,0.6334,0.6294,0.6314,0.4587,0.5201,0.4874,0.6393,0.6710,0.6548,0.4218,0.3169,0.3619,805,1271,1279,2026-01-18T02:22:34.838051
10,test,0.6134,0.5962,0.6047,0.4960,0.5383,0.5163,0.5394,0.5499,0.5446,0.4198,0.3207,0.3636,722,1177,1211,2026-01-18T02:24:45.999634
10,test,0.6134,0.5962,0.6047,0.4960,0.5383,0.5163,0.5394,0.5499,0.5446,0.4198,0.3207,0.3636,722,1177,1211,2026-01-18T02:26:57.221487
