epoch,split,precision_overall,recall_overall,f1_overall,precision_PER,recall_PER,f1_PER,precision_LOC,recall_LOC,f1_LOC,precision_ORG,recall_ORG,f1_ORG,correct,pred_entities,gold_entities,timestamp
1,dev,0.4275,0.3229,0.3679,0.3352,0.2701,0.2991,0.4475,0.3484,0.3918,0.2304,0.1284,0.1649,413,966,1279,2026-01-18T17:53:54.267566
1,test,0.4033,0.2841,0.3333,0.3444,0.2735,0.3049,0.3646,0.2457,0.2936,0.2324,0.1254,0.1629,344,853,1211,2026-01-18T17:56:06.368330
2,dev,0.4620,0.4277,0.4442,0.3347,0.3661,0.3497,0.5949,0.4043,0.4814,0.2028,0.1995,0.2011,547,1184,1279,2026-01-18T18:16:08.868286
2,test,0.4450,0.4005,0.4216,0.3505,0.3720,0.3609,0.5246,0.3114,0.3908,0.2125,0.2187,0.2155,485,1090,1211,2026-01-18T18:18:21.091036
3,dev,0.5137,0.5121,0.5129,0.3865,0.3951,0.3907,0.6061,0.5161,0.5575,0.2568,0.2842,0.2698,655,1275,1279,2026-01-18T18:38:23.595176
3,test,0.5008,0.4955,0.4981,0.4025,0.4245,0.4132,0.5340,0.4209,0.4707,0.2526,0.2857,0.2681,600,1198,1211,2026-01-18T18:40:35.655044
4,dev,0.5425,0.5285,0.5354,0.3881,0.4219,0.4043,0.6176,0.5419,0.5773,0.3061,0.2869,0.2962,676,1246,1279,2026-01-18T19:00:37.750344
4,test,0.5253,0.5054,0.5152,0.4004,0.4486,0.4231,0.5559,0.4355,0.4884,0.3040,0.2915,0.2976,612,1165,1211,2026-01-18T19:02:49.689706
5,dev,0.5630,0.5379,0.5502,0.4066,0.4129,0.4097,0.6350,0.5462,0.5873,0.3030,0.3005,0.3018,688,1222,1279,2026-01-18T19:22:51.696964
5,test,0.5401,0.5120,0.5256,0.4522,0.4661,0.4591,0.5643,0.4380,0.4932,0.3034,0.3149,0.3090,620,1148,1211,2026-01-18T19:25:03.649278
6,dev,0.5774,0.5598,0.5685,0.4232,0.4487,0.4355,0.6436,0.5591,0.5984,0.3399,0.3306,0.3352,716,1240,1279,2026-01-18T19:45:05.583404
6,test,0.5567,0.5475,0.5520,0.4451,0.4880,0.4656,0.5650,0.4550,0.5040,0.3259,0.3411,0.3333,663,1191,1211,2026-01-18T19:47:17.518448
7,dev,0.5995,0.5794,0.5893,0.4392,0.4353,0.4372,0.6424,0.5871,0.6135,0.3526,0.3497,0.3512,741,1236,1279,2026-01-18T20:07:19.250594
7,test,0.5830,0.5623,0.5725,0.4735,0.4880,0.4806,0.5689,0.4720,0.5160,0.3484,0.3586,0.3534,681,1168,1211,2026-01-18T20:09:31.152048
8,dev,0.6036,0.5833,0.5932,0.4470,0.4420,0.4444,0.6078,0.6000,0.6039,0.3636,0.3279,0.3448,746,1236,1279,2026-01-18T20:29:32.835289
8,test,0.5880,0.5656,0.5766,0.4913,0.4945,0.4929,0.5303,0.4891,0.5089,0.3519,0.3324,0.3418,685,1165,1211,2026-01-18T20:31:44.683472
9,dev,0.6008,0.5919,0.5963,0.4494,0.4754,0.4620,0.5887,0.6495,0.6176,0.4007,0.2923,0.3381,757,1260,1279,2026-01-18T20:51:46.711453
9,test,0.5795,0.5690,0.5742,0.4865,0.5120,0.4989,0.5000,0.5231,0.5113,0.3869,0.3090,0.3436,689,1189,1211,2026-01-18T20:53:58.691485
10,dev,0.5913,0.5872,0.5893,0.4253,0.4576,0.4409,0.5980,0.6559,0.6256,0.4037,0.2978,0.3428,751,1270,1279,2026-01-18T21:14:00.562170
10,test,0.5772,0.5681,0.5726,0.4803,0.5077,0.4936,0.5035,0.5207,0.5120,0.3679,0.3003,0.3307,688,1192,1211,2026-01-18T21:16:12.503183
10,test,0.5772,0.5681,0.5726,0.4803,0.5077,0.4936,0.5035,0.5207,0.5120,0.3679,0.3003,0.3307,688,1192,1211,2026-01-18T21:18:24.461544
