RQ,Comparison,Cond_A,Cond_B,Mean_A,Mean_B,Diff,t,p,Cohen_d,Significant
RQ1,CUR: NoKG vs Generic,CUR_NOKG,CUR_GEN,0.6099,0.5832,0.0267,7.128,0.0001,4.51,Yes
RQ2,CUR: NoKG vs Curated,CUR_NOKG,CUR_CUR,0.6099,0.61,-0.0001,-0.027,0.9786,-0.02,No
RQ3,CUR: Generic vs Curated,CUR_GEN,CUR_CUR,0.5832,0.61,-0.0268,-6.654,0.0001,-4.21,Yes
RQ4,NoKG: Curated vs Raw,CUR_NOKG,RAW_NOKG,0.6099,0.6565,-0.0466,-14.361,0.0001,-9.08,Yes
RQ4b,GEN: Curated vs Raw,CUR_GEN,RAW_GEN,0.5832,0.5867,-0.0035,-0.058,0.9537,-0.04,No
RQ4c,CUR_KG: Curated vs Raw,CUR_CUR,RAW_CUR,0.61,0.652,-0.042,-15.621,0.0001,-9.88,Yes
RQ6,RAW: NoKG vs Curated KG,RAW_NOKG,RAW_CUR,0.6565,0.652,0.0045,1.522,0.1279,0.96,No
