epoch,step,loss,timestamp
1,100,1.507396,2026-01-19T01:10:35.352256
1,200,1.230618,2026-01-19T01:14:09.532246
1,300,1.080983,2026-01-19T01:17:43.674049
1,400,0.970335,2026-01-19T01:21:17.811999
1,500,0.941654,2026-01-19T01:24:52.032585
2,100,0.872476,2026-01-19T01:32:50.473585
2,200,0.821943,2026-01-19T01:36:24.658464
2,300,0.752460,2026-01-19T01:39:58.789390
2,400,0.712879,2026-01-19T01:43:32.933056
2,500,0.671352,2026-01-19T01:47:07.027186
3,100,0.653660,2026-01-19T01:55:05.893542
3,200,0.639853,2026-01-19T01:58:39.965460
3,300,0.588040,2026-01-19T02:02:14.084110
3,400,0.575490,2026-01-19T02:05:48.216660
3,500,0.563440,2026-01-19T02:09:22.299784
4,100,0.541261,2026-01-19T02:17:21.024065
4,200,0.545465,2026-01-19T02:20:55.139304
4,300,0.509074,2026-01-19T02:24:29.293727
4,400,0.500569,2026-01-19T02:28:03.525369
4,500,0.478599,2026-01-19T02:31:37.599998
5,100,0.476027,2026-01-19T02:39:36.479762
5,200,0.476345,2026-01-19T02:43:10.607245
5,300,0.449059,2026-01-19T02:46:44.760435
5,400,0.438886,2026-01-19T02:50:18.841778
5,500,0.424217,2026-01-19T02:53:52.972189
6,100,0.419540,2026-01-19T03:01:51.595426
6,200,0.427068,2026-01-19T03:05:25.700129
6,300,0.399205,2026-01-19T03:08:59.736396
6,400,0.388573,2026-01-19T03:12:33.779333
6,500,0.385940,2026-01-19T03:16:07.926913
7,100,0.372537,2026-01-19T03:24:06.668584
7,200,0.384809,2026-01-19T03:27:40.841597
7,300,0.360851,2026-01-19T03:31:14.938359
7,400,0.354066,2026-01-19T03:34:49.104397
7,500,0.352894,2026-01-19T03:38:23.287952
8,100,0.340207,2026-01-19T03:46:22.190598
8,200,0.356122,2026-01-19T03:49:56.244592
8,300,0.329071,2026-01-19T03:53:30.349524
8,400,0.323714,2026-01-19T03:57:04.522880
8,500,0.322887,2026-01-19T04:00:38.643493
9,100,0.320197,2026-01-19T04:08:37.437206
9,200,0.322304,2026-01-19T04:12:11.557373
9,300,0.305163,2026-01-19T04:15:45.659092
9,400,0.298271,2026-01-19T04:19:19.809976
9,500,0.299239,2026-01-19T04:22:53.880807
10,100,0.295386,2026-01-19T04:30:52.854843
10,200,0.302954,2026-01-19T04:34:26.985336
10,300,0.287116,2026-01-19T04:38:01.078608
10,400,0.288276,2026-01-19T04:41:35.102207
10,500,0.292405,2026-01-19T04:45:09.273886
