epoch,split,precision_overall,recall_overall,f1_overall,precision_PER,recall_PER,f1_PER,precision_LOC,recall_LOC,f1_LOC,precision_ORG,recall_ORG,f1_ORG,correct,pred_entities,gold_entities,timestamp
1,dev,0.4074,0.3081,0.3508,0.2222,0.2277,0.2249,0.5490,0.3978,0.4613,0.1988,0.0929,0.1266,394,967,1279,2026-01-18T10:21:01.799636
1,test,0.3961,0.2709,0.3217,0.2648,0.2648,0.2648,0.4787,0.2457,0.3248,0.2437,0.1137,0.1551,328,828,1211,2026-01-18T10:23:13.717978
2,dev,0.5376,0.4746,0.5042,0.3883,0.3415,0.3634,0.5340,0.5914,0.5612,0.2818,0.1694,0.2116,607,1129,1279,2026-01-18T10:43:15.903420
2,test,0.5195,0.4401,0.4765,0.4146,0.3611,0.3860,0.4407,0.4428,0.4417,0.2977,0.1866,0.2294,533,1026,1211,2026-01-18T10:45:27.815639
3,dev,0.5546,0.5520,0.5533,0.3963,0.4353,0.4149,0.6253,0.6172,0.6212,0.2919,0.2568,0.2733,706,1273,1279,2026-01-18T11:05:30.110659
3,test,0.5397,0.5169,0.5280,0.4108,0.4486,0.4289,0.5526,0.4599,0.5020,0.2978,0.2770,0.2870,626,1160,1211,2026-01-18T11:07:42.248552
4,dev,0.5500,0.5637,0.5568,0.3878,0.4554,0.4189,0.6275,0.5978,0.6123,0.3041,0.2842,0.2938,721,1311,1279,2026-01-18T11:27:44.735430
4,test,0.5487,0.5392,0.5439,0.4374,0.4967,0.4652,0.5478,0.4599,0.5000,0.3374,0.3207,0.3288,653,1190,1211,2026-01-18T11:29:56.744228
5,dev,0.5795,0.5700,0.5747,0.4228,0.4710,0.4456,0.6455,0.6108,0.6276,0.3386,0.2951,0.3153,729,1258,1279,2026-01-18T11:49:59.093882
5,test,0.5784,0.5541,0.5660,0.4588,0.5120,0.4840,0.5698,0.4769,0.5192,0.3660,0.3265,0.3451,671,1160,1211,2026-01-18T11:52:11.257335
6,dev,0.6102,0.5997,0.6049,0.4382,0.5067,0.4700,0.6425,0.6301,0.6363,0.3993,0.3087,0.3482,767,1257,1279,2026-01-18T12:12:13.894598
6,test,0.6009,0.5706,0.5853,0.4758,0.5383,0.5051,0.5787,0.5012,0.5372,0.4079,0.3294,0.3645,691,1150,1211,2026-01-18T12:14:25.949653
7,dev,0.6119,0.5966,0.6041,0.4268,0.5268,0.4715,0.6457,0.6194,0.6323,0.4315,0.2923,0.3485,763,1247,1279,2026-01-18T12:34:28.658446
7,test,0.6106,0.5813,0.5956,0.4608,0.5536,0.5030,0.6000,0.5109,0.5519,0.4567,0.3382,0.3886,704,1153,1211,2026-01-18T12:36:40.778107
8,dev,0.6219,0.6044,0.6130,0.4533,0.5089,0.4795,0.6358,0.6495,0.6426,0.4340,0.3142,0.3645,773,1243,1279,2026-01-18T12:56:43.189756
8,test,0.6141,0.5888,0.6012,0.4881,0.5383,0.5120,0.5587,0.5328,0.5455,0.4604,0.3557,0.4013,713,1161,1211,2026-01-18T12:58:55.468424
9,dev,0.6154,0.6067,0.6110,0.4837,0.4955,0.4895,0.6061,0.6817,0.6417,0.4229,0.3224,0.3659,776,1261,1279,2026-01-18T13:18:58.008474
9,test,0.6151,0.5912,0.6029,0.5317,0.5317,0.5317,0.5339,0.5742,0.5533,0.4151,0.3207,0.3618,716,1164,1211,2026-01-18T13:21:10.120681
10,dev,0.6216,0.6294,0.6255,0.4664,0.5268,0.4948,0.6218,0.6860,0.6524,0.4783,0.3607,0.4112,805,1295,1279,2026-01-18T13:41:12.802002
10,test,0.6084,0.6094,0.6089,0.5020,0.5602,0.5295,0.5297,0.5645,0.5465,0.4340,0.3353,0.3783,738,1213,1211,2026-01-18T13:43:24.902802
10,test,0.6084,0.6094,0.6089,0.5020,0.5602,0.5295,0.5297,0.5645,0.5465,0.4340,0.3353,0.3783,738,1213,1211,2026-01-18T13:45:36.956790
