epoch,split,precision_overall,recall_overall,f1_overall,precision_PER,recall_PER,f1_PER,precision_LOC,recall_LOC,f1_LOC,precision_ORG,recall_ORG,f1_ORG,correct,pred_entities,gold_entities,timestamp
1,dev,0.2959,0.1712,0.2169,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1033,0.2077,0.1379,219,740,1279,2026-01-08T22:40:11.473292
1,test,0.2905,0.1734,0.2172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1180,0.2449,0.1592,210,723,1211,2026-01-08T22:42:22.519692
2,dev,0.4222,0.2205,0.2897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1547,0.2814,0.1996,282,668,1279,2026-01-08T22:49:01.160948
2,test,0.4045,0.2238,0.2881,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1609,0.3120,0.2123,271,670,1211,2026-01-08T22:51:12.074168
3,dev,0.5892,0.3331,0.4256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2094,0.4126,0.2778,426,723,1279,2026-01-08T22:57:50.841409
3,test,0.5820,0.3518,0.4385,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2077,0.4402,0.2822,426,732,1211,2026-01-08T23:00:01.949973
4,dev,0.5962,0.3151,0.4123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2059,0.3798,0.2671,403,676,1279,2026-01-08T23:06:40.734906
4,test,0.5766,0.3262,0.4167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2180,0.4315,0.2896,395,685,1211,2026-01-08T23:08:51.871487
5,dev,0.5309,0.3495,0.4215,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1794,0.4098,0.2496,447,842,1279,2026-01-08T23:15:30.650250
5,test,0.5175,0.3534,0.4200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1956,0.4665,0.2756,428,827,1211,2026-01-08T23:17:41.869405
6,dev,0.5998,0.4300,0.5009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1819,0.4508,0.2592,550,917,1279,2026-01-08T23:24:20.844818
6,test,0.6000,0.4286,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2037,0.5073,0.2907,519,865,1211,2026-01-08T23:26:32.138076
7,dev,0.6218,0.4590,0.5281,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1815,0.4617,0.2606,587,944,1279,2026-01-08T23:33:11.215411
7,test,0.6203,0.4492,0.5211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2002,0.5044,0.2867,544,877,1211,2026-01-08T23:35:22.477750
8,dev,0.5658,0.4707,0.5139,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1597,0.4563,0.2365,602,1064,1279,2026-01-08T23:42:01.491292
8,test,0.5583,0.4550,0.5014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1756,0.4956,0.2593,551,987,1211,2026-01-08T23:44:12.884681
9,dev,0.5927,0.4926,0.5380,0.0000,0.0000,0.0000,0.4862,0.2280,0.3104,0.2087,0.4727,0.2895,630,1063,1279,2026-01-08T23:50:51.988523
9,test,0.5838,0.4748,0.5237,0.0000,0.0000,0.0000,0.2849,0.1192,0.1681,0.2153,0.5015,0.3012,575,985,1211,2026-01-08T23:53:03.331682
10,dev,0.5749,0.4769,0.5214,0.2390,0.3147,0.2717,0.4393,0.2882,0.3481,0.3444,0.1421,0.2012,610,1061,1279,2026-01-08T23:59:42.362336
10,test,0.5624,0.4616,0.5070,0.2849,0.3479,0.3133,0.2841,0.1873,0.2258,0.4183,0.1866,0.2581,559,994,1211,2026-01-09T00:01:53.686959
10,test,0.5624,0.4616,0.5070,0.2849,0.3479,0.3133,0.2841,0.1873,0.2258,0.4183,0.1866,0.2581,559,994,1211,2026-01-09T00:04:04.883232
