entity,data,NOKG,GEN,CUR
overall,CUR,0.6099,0.5749,0.6060
overall,RAW,0.6549,0.5832,0.6481
PER,CUR,0.5232,0.4917,0.5206
PER,RAW,0.5476,0.4978,0.5397
LOC,CUR,0.5488,0.5160,0.5463
LOC,RAW,0.5755,0.5089,0.5651
ORG,CUR,0.3778,0.3453,0.3714
ORG,RAW,0.4510,0.3752,0.4479
