condition,n,f1_overall_mean,f1_overall_sd,f1_PER_mean,f1_PER_sd,f1_LOC_mean,f1_LOC_sd,f1_ORG_mean,f1_ORG_sd
CUR_NOKG,5,0.6099,0.004089009660052177,0.52324,0.004788319120526532,0.5487599999999999,0.008566971460206907,0.37778,0.011719940272885351
CUR_GEN,5,0.5831799999999999,0.007317239916799253,0.50496,0.014251596401807055,0.52636,0.014462987243304892,0.3443,0.011623037468751445
CUR_CUR,5,0.60998,0.0052509046839568346,0.51332,0.002664019519448012,0.5465199999999999,0.010946095194177698,0.38781999999999994,0.01656402728807219
RAW_NOKG,5,0.6565,0.0059941638282582956,0.54816,0.011273996629412269,0.57582,0.016935672410624845,0.44772,0.02220083331769328
RAW_GEN,5,0.5867,0.1353641385301144,0.50238,0.07796850004969957,0.50092,0.09489273944828444,0.36762,0.15064812312139836
RAW_CUR,5,0.6519600000000001,0.0029219856262480085,0.5355399999999999,0.010029855432657034,0.56258,0.01892754606387208,0.44526000000000004,0.01029796096321986
