data,kg,data_label,kg_label,f1_mean,f1_std,f1_count,f1_min,f1_max,precision_mean,precision_std,recall_mean,recall_std
CUR,CUR,Curated,Curated (15k),0.6156,0.0117,3,0.6077,0.629,0.6563,0.04,0.5808,0.0113
CUR,GEN,Curated,Generic (3.4M),0.5645,0.0979,3,0.4518,0.629,0.5994,0.1067,0.5334,0.0904
CUR,NOKG,Curated,None,0.6244,0.0127,3,0.6122,0.6375,0.6688,0.0048,0.586,0.0255
RAW,CUR,Raw,Curated (15k),0.5423,0.1091,3,0.4166,0.6112,0.5849,0.0914,0.5068,0.1201
RAW,GEN,Raw,Generic (3.4M),0.443,0.1364,3,0.3048,0.5776,0.4802,0.1432,0.4118,0.1316
RAW,NOKG,Raw,None,0.5416,0.119,3,0.405,0.6231,0.6094,0.0606,0.4941,0.1482
