epoch,step,loss,timestamp
1,100,1.473113,2026-01-18T21:23:58.454536
1,200,1.226807,2026-01-18T21:27:32.910419
1,300,1.061201,2026-01-18T21:31:07.377493
1,400,0.970182,2026-01-18T21:34:41.734158
1,500,0.917779,2026-01-18T21:38:16.029647
2,100,0.865146,2026-01-18T21:46:13.915788
2,200,0.800467,2026-01-18T21:49:48.079731
2,300,0.747976,2026-01-18T21:53:22.209862
2,400,0.721711,2026-01-18T21:56:56.396964
2,500,0.670760,2026-01-18T22:00:30.574416
3,100,0.651281,2026-01-18T22:08:28.232543
3,200,0.627967,2026-01-18T22:12:02.436652
3,300,0.594942,2026-01-18T22:15:36.604836
3,400,0.577692,2026-01-18T22:19:10.809761
3,500,0.543886,2026-01-18T22:22:45.096320
4,100,0.553744,2026-01-18T22:30:42.737240
4,200,0.532367,2026-01-18T22:34:16.902895
4,300,0.499339,2026-01-18T22:37:51.046485
4,400,0.496584,2026-01-18T22:41:25.188359
4,500,0.470877,2026-01-18T22:44:59.382869
5,100,0.471212,2026-01-18T22:52:56.948208
5,200,0.457748,2026-01-18T22:56:31.191420
5,300,0.442411,2026-01-18T23:00:05.426675
5,400,0.432020,2026-01-18T23:03:39.551810
5,500,0.412904,2026-01-18T23:07:13.720652
6,100,0.417105,2026-01-18T23:15:11.276466
6,200,0.411248,2026-01-18T23:18:45.473204
6,300,0.392774,2026-01-18T23:22:19.662608
6,400,0.387082,2026-01-18T23:25:53.828332
6,500,0.369251,2026-01-18T23:29:28.031525
7,100,0.383134,2026-01-18T23:37:25.625971
7,200,0.366311,2026-01-18T23:40:59.885646
7,300,0.357675,2026-01-18T23:44:34.081285
7,400,0.350337,2026-01-18T23:48:08.214226
7,500,0.342289,2026-01-18T23:51:42.355149
8,100,0.345583,2026-01-18T23:59:40.012828
8,200,0.340673,2026-01-19T00:03:14.180568
8,300,0.331964,2026-01-19T00:06:48.377314
8,400,0.315379,2026-01-19T00:10:22.602662
8,500,0.320645,2026-01-19T00:13:56.791361
9,100,0.314494,2026-01-19T00:21:54.472615
9,200,0.318321,2026-01-19T00:25:28.701303
9,300,0.307462,2026-01-19T00:29:02.883467
9,400,0.300309,2026-01-19T00:32:37.057036
9,500,0.292824,2026-01-19T00:36:11.209371
10,100,0.290807,2026-01-19T00:44:08.917188
10,200,0.294042,2026-01-19T00:47:43.070887
10,300,0.292148,2026-01-19T00:51:17.259783
10,400,0.284828,2026-01-19T00:54:51.393478
10,500,0.280976,2026-01-19T00:58:25.448050
